DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
10X437,Fordham High School for the Arts,Exceeding Target,4.81,Well Developed,Well Developed,Well Developed,86%,79%,79%,Exceeding Target,4.45,Well Developed,86%,80%,81%,Exceeding Target,4.34,Well Developed,77%,72%,71%,Exceeding Target,0.23,0.69,0.89,4.30,74.7%,4.32,Meeting Target,3.85,90%,84%,85%,Meeting Target,3.89,89%,87%,88%,Meeting Target,3.42,85%,87%,88%,96%,100%,35%,Iris Blige,15-Mar-16
10X438,Fordham Leadership Academy,Meeting Target,3.49,Proficient,Proficient,Proficient,79%,79%,79%,Meeting Target,3.91,Proficient,83%,80%,81%,Exceeding Target,4.06,Well Developed,68%,72%,71%,Exceeding Target,0.23,0.71,0.98,4.27,86.1%,4.99,Meeting Target,3.75,84%,84%,85%,Meeting Target,3.64,87%,87%,88%,Meeting Target,3.42,87%,87%,88%,77%,100%,36%,Fiorella Cabrejos,May 2018
10X439,Bronx High School for Law and Community Service,Meeting Target,3.96,Well Developed,Proficient,Proficient,82%,79%,79%,Exceeding Target,4.17,Proficient,90%,80%,81%,Meeting Target,3.49,Proficient,73%,72%,71%,Approaching Target,0.25,0.77,0.67,2.92,57.9%,3.56,Exceeding Target,4.05,93%,84%,85%,Meeting Target,3.81,90%,87%,88%,Meeting Target,3.69,90%,87%,88%,83%,78%,33%,Michael Barakat,May 2018
10X440,DeWitt Clinton High School,Approaching Target,2.26,Developing,Developing,Developing,76%,79%,79%,Meeting Target,3.43,Proficient,81%,80%,81%,Meeting Target,3.03,Proficient,68%,72%,71%,Exceeding Target,0.18,0.55,0.96,4.17,52.1%,2.44,Meeting Target,3.38,80%,84%,85%,Approaching Target,2.64,83%,87%,88%,Meeting Target,3.42,87%,87%,88%,56%,73%,6%,Pierre Orbe,March 2018
10X442,"Celia Cruz Bronx High School of Music, The",Meeting Target,3.53,Proficient,Proficient,Proficient,81%,79%,79%,Meeting Target,3.49,Proficient,80%,80%,81%,Meeting Target,3.92,Proficient,74%,72%,71%,Meeting Target,0.23,0.71,0.59,3.50,71.4%,4.07,Meeting Target,3.54,84%,84%,85%,Meeting Target,3.81,90%,87%,88%,Meeting Target,3.67,88%,87%,88%,99%,75%,47%,,March-19
10X445,The Bronx High School of Science,Exceeding Target,4.41,Well Developed,Proficient,Well Developed,86%,79%,79%,Exceeding Target,4.33,Well Developed,85%,80%,81%,Exceeding Target,4.31,Well Developed,80%,72%,71%,Exceeding Target,0.01,0.00,0.56,4.00,92.4%,4.10,Exceeding Target,4.60,91%,84%,85%,Meeting Target,3.85,88%,87%,88%,Meeting Target,3.91,91%,87%,88%,90%,75%,46%,,January-19
10X477,Marble Hill High School for International Studies,Exceeding Target,4.43,Well Developed,Proficient,Well Developed,85%,79%,79%,Exceeding Target,4.31,Well Developed,83%,80%,81%,Exceeding Target,4.62,Well Developed,84%,72%,71%,Exceeding Target,0.14,0.39,0.61,4.10,80.7%,4.60,Meeting Target,3.82,87%,84%,85%,Meeting Target,3.80,88%,87%,88%,Exceeding Target,4.21,92%,87%,88%,95%,100%,46%,Kirsten Larson,"April 16, 2015"
10X524,Crotona International High School,Meeting Target,3.07,Proficient,Developing,Proficient,83%,79%,79%,Meeting Target,3.72,Proficient,78%,80%,81%,Meeting Target,3.92,Proficient,89%,72%,71%,Not Meeting Target,0.02,0.02,0.86,1.28,73.6%,4.93,Meeting Target,3.32,77%,84%,85%,Exceeding Target,4.27,94%,87%,88%,Exceeding Target,4.03,89%,87%,88%,87%,96%,84%,SHWETA RATRA,May 2017
10X546,Bronx Theatre High School,Meeting Target,3.05,Proficient,Developing,Proficient,78%,79%,79%,Approaching Target,2.25,Developing,59%,80%,81%,Approaching Target,2.85,Proficient,65%,72%,71%,Exceeding Target,0.23,0.70,0.83,4.07,43.5%,2.52,Approaching Target,2.57,57%,84%,85%,Not Meeting Target,1.55,76%,87%,88%,Not Meeting Target,1.78,70%,87%,88%,84%,92%,48%,WILLIAM DOYLE,February 2017
10X549,Discovery High School,Exceeding Target,4.80,Well Developed,Well Developed,Well Developed,86%,79%,79%,Exceeding Target,4.55,Well Developed,91%,80%,81%,Exceeding Target,4.35,Well Developed,71%,72%,71%,Exceeding Target,0.24,0.71,1.02,4.30,74.4%,4.99,Exceeding Target,4.88,98%,84%,85%,Exceeding Target,4.72,96%,87%,88%,Exceeding Target,4.12,93%,87%,88%,39%,80%,25%,ROLANDO RIVERA,December 2017
10X565,High School for Energy and Technology,Meeting Target,3.47,Proficient,Proficient,Proficient,78%,79%,79%,Meeting Target,3.47,Proficient,80%,80%,81%,Meeting Target,3.50,Well Developed,73%,72%,71%,Meeting Target,0.26,0.81,0.88,3.75,49.0%,2.80,Meeting Target,3.87,88%,84%,85%,Meeting Target,3.69,87%,87%,88%,Meeting Target,3.14,84%,87%,88%,80%,97%,32%,Marie Guillaume,March 2018
10X696,High School of American Studies at Lehman College,Exceeding Target,4.48,Well Developed,Well Developed,Proficient,89%,79%,79%,Exceeding Target,4.43,Well Developed,87%,80%,81%,Exceeding Target,4.38,Well Developed,84%,72%,71%,Exceeding Target,0.02,0.03,0.60,4.07,91.0%,3.95,Meeting Target,3.90,90%,84%,85%,Meeting Target,3.43,85%,87%,88%,Exceeding Target,4.07,92%,87%,88%,97%,81%,51%,Alessandro Weiss,"February 25, 2015"
11X249,Bronx Health Sciences High School,Meeting Target,3.49,Proficient,Proficient,Proficient,79%,79%,79%,Exceeding Target,4.18,Well Developed,82%,80%,81%,Exceeding Target,4.05,Well Developed,68%,72%,71%,Exceeding Target,0.14,0.40,1.05,4.97,83.6%,4.99,Meeting Target,3.54,87%,84%,85%,Meeting Target,3.67,87%,87%,88%,Meeting Target,3.08,84%,87%,88%,93%,90%,15%,MIRIAM RIVAS,March 2017
11X253,Bronx High School for Writing and Communication Ar,Meeting Target,3.64,Proficient,Proficient,Proficient,86%,79%,79%,Meeting Target,3.97,Proficient,93%,80%,81%,Meeting Target,3.97,Proficient,82%,72%,71%,Meeting Target,0.22,0.68,0.90,3.25,60.5%,4.20,Meeting Target,3.88,96%,84%,85%,Exceeding Target,4.06,92%,87%,88%,Exceeding Target,4.36,95%,87%,88%,61%,92%,28%,Terri Grey,December 2016
11X265,Bronx Lab School,Meeting Target,3.13,Proficient,Developing,Proficient,81%,79%,79%,Meeting Target,3.62,Proficient,87%,80%,81%,Meeting Target,3.21,Proficient,72%,72%,71%,Meeting Target,0.28,0.86,0.88,3.50,51.0%,3.37,Meeting Target,3.66,90%,84%,85%,Exceeding Target,4.09,92%,87%,88%,Meeting Target,3.95,91%,87%,88%,49%,97%,11%,Sarah Marcy,December 2016
11X270,Academy for Scholarship and Entrepreneurship: A Co,Approaching Target,2.97,Proficient,Developing,Proficient,76%,79%,79%,Meeting Target,3.50,Proficient,82%,80%,81%,Approaching Target,2.88,Proficient,64%,72%,71%,Exceeding Target,0.23,0.69,0.89,4.03,50.3%,2.81,Meeting Target,3.69,90%,84%,85%,Exceeding Target,4.27,94%,87%,88%,Meeting Target,3.42,88%,87%,88%,82%,84%,31%,ZENOBIA WHITE,April 2018
11X275,High School of Computers and Technology,Meeting Target,3.04,Proficient,Proficient,Developing,78%,79%,79%,Meeting Target,3.62,Proficient,85%,80%,81%,Meeting Target,3.88,Well Developed,66%,72%,71%,Approaching Target,0.23,0.71,0.62,2.08,67.7%,4.45,Meeting Target,3.57,89%,84%,85%,Approaching Target,2.24,79%,87%,88%,Meeting Target,3.34,88%,87%,88%,84%,97%,29%,David Wills,May 2018
11X288,Collegiate Institute for Math and Science,Meeting Target,3.44,Proficient,Proficient,Proficient,78%,79%,79%,Meeting Target,3.49,Proficient,82%,80%,81%,Meeting Target,3.65,Well Developed,66%,72%,71%,Meeting Target,0.18,0.54,0.70,3.88,71.5%,3.40,Meeting Target,3.60,88%,84%,85%,Meeting Target,3.44,85%,87%,88%,Approaching Target,2.94,83%,87%,88%,76%,92%,11%,Fredrick Nelson,May 2017
11X290,Bronx Academy of Health Careers,Approaching Target,2.64,Proficient,Developing,Developing,78%,79%,79%,Meeting Target,3.37,Proficient,80%,80%,81%,Meeting Target,3.78,Well Developed,60%,72%,71%,Meeting Target,0.20,0.60,0.83,3.75,67.4%,4.90,Exceeding Target,4.34,90%,84%,85%,Exceeding Target,4.75,97%,87%,88%,Meeting Target,3.55,88%,87%,88%,91%,100%,69%,Dawn Santiago,November 2017
11X299,Astor Collegiate Academy,Approaching Target,2.81,Proficient,Developing,Developing,80%,79%,79%,Approaching Target,2.95,Developing,77%,80%,81%,Approaching Target,2.62,Proficient,64%,72%,71%,Exceeding Target,0.23,0.69,0.75,4.00,57.5%,2.57,Meeting Target,3.14,75%,84%,85%,Meeting Target,3.36,87%,87%,88%,Approaching Target,2.88,82%,87%,88%,76%,100%,10%,Sandra Burgos,May 2017
11X418,Bronx High School for the Visual Arts,Approaching Target,2.76,Proficient,Developing,Proficient,69%,79%,79%,Approaching Target,2.98,Proficient,71%,80%,81%,Approaching Target,2.26,Developing,64%,72%,71%,Exceeding Target,0.32,0.98,0.75,4.00,48.4%,2.15,Meeting Target,3.12,73%,84%,85%,Meeting Target,3.26,87%,87%,88%,Approaching Target,2.77,81%,87%,88%,87%,100%,28%,IRIS WITHERSPOON,November 2016
11X455,Harry S Truman High School,Meeting Target,3.61,Proficient,Proficient,Proficient,83%,79%,79%,Meeting Target,3.64,Proficient,86%,80%,81%,Meeting Target,3.69,Proficient,67%,72%,71%,Approaching Target,0.29,0.89,0.84,2.75,74.7%,4.99,Meeting Target,3.02,90%,84%,85%,,.,84%,87%,88%,,.,90%,87%,88%,48%,45%,12%,Keri Alfano,May 2017
11X508,Bronxdale High School,Exceeding Target,4.32,Well Developed,Well Developed,Proficient,84%,79%,79%,Meeting Target,3.99,Proficient,95%,80%,81%,Meeting Target,3.33,Well Developed,78%,72%,71%,Approaching Target,0.24,0.71,0.66,2.83,48.6%,1.82,Meeting Target,3.92,96%,84%,85%,Exceeding Target,4.01,89%,87%,88%,Exceeding Target,4.38,95%,87%,88%,90%,100%,57%,,October-18
11X509,High School of Language and Innovation,Meeting Target,3.43,Proficient,Proficient,Proficient,78%,79%,79%,Exceeding Target,4.13,Proficient,89%,80%,81%,Meeting Target,3.95,Well Developed,78%,72%,71%,Exceeding Target,0.04,0.08,1.00,4.43,66.2%,2.91,Meeting Target,3.53,87%,84%,85%,Approaching Target,2.81,82%,87%,88%,Meeting Target,3.21,87%,87%,88%,81%,75%,81%,Julie Nariman,May 2017
11X513,New World High School,Meeting Target,3.59,Proficient,Proficient,Proficient,83%,79%,79%,Meeting Target,3.76,Proficient,89%,80%,81%,Exceeding Target,4.10,Well Developed,79%,72%,71%,Meeting Target,0.06,0.13,0.62,3.75,71.2%,4.20,Exceeding Target,4.23,90%,84%,85%,Meeting Target,3.43,85%,87%,88%,Meeting Target,3.85,91%,87%,88%,96%,93%,62%,,February-19
11X514,The Bronxwood Preparatory Academy,Meeting Target,3.73,Well Developed,Proficient,Proficient,76%,79%,79%,Exceeding Target,4.25,Proficient,93%,80%,81%,Exceeding Target,4.18,Well Developed,68%,72%,71%,Exceeding Target,0.22,0.67,1.06,4.17,70.9%,4.99,Exceeding Target,4.09,94%,84%,85%,Meeting Target,3.96,89%,87%,88%,Meeting Target,3.89,92%,87%,88%,86%,79%,18%,JANET GALLARDO,November 2017
11X542,Pelham Preparatory Academy,Meeting Target,3.37,Proficient,Proficient,Proficient,75%,79%,79%,Meeting Target,3.78,Well Developed,80%,80%,81%,Meeting Target,3.93,Well Developed,71%,72%,71%,Exceeding Target,0.25,0.75,0.86,4.37,65.6%,3.49,Meeting Target,3.63,78%,84%,85%,Meeting Target,3.54,87%,87%,88%,Meeting Target,3.15,83%,87%,88%,80%,90%,20%,BENVENUTO FERRON,November 2017
11X544,High School for Contemporary Arts,Meeting Target,3.00,Proficient,Developing,Developing,84%,79%,79%,Meeting Target,3.85,Proficient,92%,80%,81%,Exceeding Target,4.03,Proficient,71%,72%,71%,Approaching Target,0.25,0.75,0.82,2.17,61.3%,4.94,Exceeding Target,4.04,93%,84%,85%,Meeting Target,3.93,91%,87%,88%,Meeting Target,3.64,90%,87%,88%,46%,90%,17%,Pedro Cubero,March 2017
11X545,Bronx Aerospace High School,Exceeding Target,4.10,Well Developed,Well Developed,Proficient,79%,79%,79%,Exceeding Target,4.09,Well Developed,79%,80%,81%,Approaching Target,2.55,Proficient,58%,72%,71%,Exceeding Target,0.25,0.75,1.01,4.03,32.6%,1.73,Exceeding Target,4.24,79%,84%,85%,Meeting Target,3.31,86%,87%,88%,Approaching Target,2.59,80%,87%,88%,58%,79%,25%,Erika Hurtado,April 2018
12X242,Mott Hall V,Meeting Target,3.28,Proficient,Proficient,Proficient,73%,79%,79%,Meeting Target,3.12,Proficient,74%,80%,81%,Meeting Target,3.81,Proficient,76%,70%,71%,Approaching Target,0.27,0.83,0.62,2.42,58.2%,3.32,Meeting Target,3.20,76%,83%,85%,Meeting Target,3.15,88%,90%,88%,Meeting Target,3.32,84%,87%,88%,84%,98%,50%,,November-18
12X248,"Metropolitan High School, The",Not Meeting Target,1.80,Developing,Developing,Developing,59%,79%,79%,Not Meeting Target,1.91,Developing,65%,80%,81%,Approaching Target,2.65,Proficient,61%,72%,71%,Approaching Target,0.27,0.82,1.02,2.92,36.5%,2.56,Approaching Target,2.26,72%,84%,85%,Approaching Target,2.28,81%,87%,88%,Not Meeting Target,1.88,76%,87%,88%,46%,82%,17%,Madhusudhan Narayanan,"April 1, 2015"
12X251,Explorations Academy H.S.,Meeting Target,3.33,Proficient,Proficient,Proficient,71%,79%,79%,Approaching Target,2.67,Proficient,54%,80%,81%,Meeting Target,3.58,Proficient,69%,72%,71%,Exceeding Target,0.26,0.81,0.85,4.07,47.8%,3.57,Approaching Target,2.76,57%,84%,85%,Meeting Target,3.47,87%,87%,88%,Meeting Target,3.01,77%,87%,88%,78%,90%,37%,SUSANA HERNANDEZ,April 2018
12X267,Bronx Latin,Meeting Target,3.51,Proficient,Proficient,Proficient,80%,79%,79%,Exceeding Target,4.23,Well Developed,80%,80%,81%,Meeting Target,3.83,Well Developed,68%,70%,71%,Exceeding Target,0.24,0.72,0.68,4.07,70.1%,4.64,Meeting Target,3.99,81%,83%,85%,Meeting Target,3.87,91%,90%,88%,Meeting Target,3.52,86%,87%,88%,68%,85%,52%,,April-19
12X271,East Bronx Academy for the Future,,.,Proficient,Proficient,Proficient,82%,79%,79%,,.,Well Developed,86%,80%,81%,Meeting Target,3.66,Well Developed,69%,70%,71%,Approaching Target,0.30,0.91,0.75,2.08,52.2%,3.65,,.,90%,83%,85%,,.,91%,90%,88%,,.,90%,87%,88%,48%,25%,10%,SARAH SCROGIN,March 2017
12X388,Pan American International High School at Monroe,Exceeding Target,4.87,Well Developed,Well Developed,Well Developed,91%,79%,79%,Exceeding Target,4.73,Well Developed,94%,80%,81%,Exceeding Target,4.27,Well Developed,91%,72%,71%,Exceeding Target,0.02,0.02,0.89,4.87,59.5%,2.81,Exceeding Target,4.53,96%,84%,85%,Exceeding Target,4.34,92%,87%,88%,Exceeding Target,4.23,93%,87%,88%,91%,100%,97%,Bridgit Claire Bye,18-May-16
12X478,The Cinema School,Meeting Target,3.38,Proficient,Proficient,Proficient,77%,79%,79%,Meeting Target,3.51,Proficient,84%,80%,81%,Meeting Target,3.35,Well Developed,65%,72%,71%,Exceeding Target,0.20,0.61,0.86,4.23,62.4%,2.52,Meeting Target,3.52,84%,84%,85%,Meeting Target,3.28,85%,87%,88%,Meeting Target,3.47,87%,87%,88%,82%,95%,52%,Keisha Warner,May 2017
12X479,Bronx Career and College Preparatory High School,Approaching Target,2.38,Proficient,Developing,Developing,69%,79%,79%,Meeting Target,3.16,Proficient,71%,80%,81%,Approaching Target,2.96,Proficient,65%,72%,71%,Not Meeting Target,0.25,0.76,0.60,1.50,43.4%,3.04,Meeting Target,3.25,89%,84%,85%,Meeting Target,3.47,87%,87%,88%,Approaching Target,2.64,84%,87%,88%,69%,86%,24%,Julia Baly,May 2017
12X511,Bronx Envision Academy,Meeting Target,3.89,Proficient,Proficient,Well Developed,80%,79%,79%,Exceeding Target,4.11,Well Developed,89%,80%,81%,Meeting Target,3.73,Well Developed,69%,72%,71%,Meeting Target,0.23,0.71,0.74,3.13,50.9%,3.38,Exceeding Target,4.05,93%,84%,85%,Meeting Target,3.92,89%,87%,88%,Meeting Target,3.74,91%,87%,88%,72%,100%,34%,Emily Shu,April 2018
12X521,The Metropolitan Soundview High School,Meeting Target,3.17,Proficient,Proficient,Developing,80%,79%,79%,Meeting Target,3.22,Proficient,84%,80%,81%,Meeting Target,3.26,Well Developed,69%,72%,71%,Approaching Target,0.23,0.69,0.65,2.25,44.9%,2.62,Exceeding Target,4.36,92%,84%,85%,Exceeding Target,4.21,91%,87%,88%,Meeting Target,3.78,89%,87%,88%,72%,94%,26%,,January-19
12X550,High School of World Cultures,Approaching Target,2.84,Developing,Developing,Proficient,85%,79%,79%,Meeting Target,3.08,Developing,91%,80%,81%,Meeting Target,3.40,Developing,80%,72%,71%,Exceeding Target,0.04,0.07,1.18,4.40,57.5%,3.87,Approaching Target,2.80,91%,84%,85%,Meeting Target,3.99,93%,87%,88%,Exceeding Target,4.00,91%,87%,88%,94%,97%,88%,RAMON NAMNUN,March 2017
12X682,Fannie Lou Hamer Freedom High School,Exceeding Target,4.05,Well Developed,Proficient,Proficient,85%,79%,79%,Meeting Target,3.95,Proficient,95%,80%,81%,Meeting Target,3.60,Well Developed,79%,72%,71%,Not Meeting Target,0.29,0.88,0.57,1.28,38.1%,2.16,Exceeding Target,4.30,98%,84%,85%,Exceeding Target,4.84,97%,87%,88%,Exceeding Target,4.70,97%,87%,88%,78%,95%,57%,Jeffrey Palladino,December 2016
12X684,Wings Academy,Approaching Target,2.89,Proficient,Developing,Proficient,71%,79%,79%,Meeting Target,3.19,Proficient,70%,80%,81%,Approaching Target,2.23,Proficient,56%,72%,71%,Not Meeting Target,0.28,0.86,0.69,1.94,37.3%,1.99,Meeting Target,3.45,84%,84%,85%,Approaching Target,2.94,83%,87%,88%,Approaching Target,2.65,82%,87%,88%,78%,59%,19%,Tuwanna Williams Gray,April 2017
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Meeting Target,3.06,Proficient,Developing,Proficient,78%,79%,78%,Meeting Target,3.09,Developing,80%,80%,80%,Approaching Target,2.99,Proficient,67%,70%,70%,Approaching Target,0.23,0.71,0.46,2.17,45.2%,2.11,Meeting Target,3.25,85%,83%,84%,Exceeding Target,4.07,94%,90%,89%,Meeting Target,3.84,89%,87%,88%,69%,72%,11%,Michael Walker,April 2017
13K350,Urban Assembly School for Music and Art,Meeting Target,3.07,Developing,Developing,Proficient,92%,79%,78%,Exceeding Target,4.12,Proficient,98%,80%,80%,Meeting Target,3.37,Proficient,82%,72%,70%,Approaching Target,0.22,0.66,0.73,2.42,47.4%,2.36,Meeting Target,3.93,97%,84%,84%,Exceeding Target,4.55,96%,87%,89%,Exceeding Target,4.21,94%,87%,88%,41%,73%,23%,PAUL THOMPSON,December 2016
13K412,Brooklyn Community Arts & Media High School (BCAM),Meeting Target,3.61,Proficient,Proficient,Proficient,82%,79%,78%,Meeting Target,3.92,Proficient,83%,80%,80%,Meeting Target,3.83,Well Developed,70%,72%,70%,Exceeding Target,0.25,0.76,0.76,4.00,54.0%,3.27,Meeting Target,3.99,90%,84%,84%,Exceeding Target,4.21,91%,87%,89%,Meeting Target,3.82,89%,87%,88%,88%,91%,33%,JAMES OBRIEN,May 2018
13K419,"Science Skills Center High School for Science, Tec",Approaching Target,2.91,Proficient,Developing,Proficient,75%,79%,78%,Meeting Target,3.54,Proficient,75%,80%,80%,Meeting Target,3.06,Proficient,64%,72%,70%,Approaching Target,0.13,0.38,0.44,2.25,72.7%,3.71,Meeting Target,3.25,79%,84%,84%,Meeting Target,3.82,90%,87%,89%,Approaching Target,2.25,78%,87%,88%,84%,97%,20%,Dahlia Mcgregor,April 2018
13K430,Brooklyn Technical High School,Exceeding Target,4.25,Well Developed,Proficient,Well Developed,80%,79%,78%,Meeting Target,3.87,Well Developed,74%,80%,80%,Exceeding Target,4.12,Well Developed,76%,72%,70%,Meeting Target,0.01,0.00,0.51,3.50,89.4%,3.92,Exceeding Target,4.21,78%,84%,84%,Not Meeting Target,1.60,74%,87%,89%,Meeting Target,3.41,86%,87%,88%,73%,90%,58%,David Newman,March 2017
13K439,Brooklyn International High School,Exceeding Target,4.81,Well Developed,Well Developed,Well Developed,86%,79%,78%,Exceeding Target,4.54,Well Developed,89%,80%,80%,Exceeding Target,4.32,Well Developed,82%,72%,70%,Approaching Target,0.02,0.02,1.38,2.58,68.8%,4.07,Meeting Target,3.78,87%,84%,84%,Meeting Target,3.76,87%,87%,89%,Exceeding Target,4.32,94%,87%,88%,89%,100%,53%,Kathleen Rucker,"November 20, 2014"
13K483,The Urban Assembly School for Law and Justice,Exceeding Target,4.76,Well Developed,Well Developed,Well Developed,83%,79%,78%,Exceeding Target,4.33,Well Developed,84%,80%,80%,Meeting Target,3.42,Well Developed,71%,72%,70%,Approaching Target,0.17,0.50,0.41,2.83,61.5%,2.25,Exceeding Target,4.12,93%,84%,84%,Exceeding Target,4.23,91%,87%,89%,Meeting Target,3.81,91%,87%,88%,85%,100%,44%,Suzette Dyer,4-Dec-15
13K499,ACORN Community High School,Approaching Target,2.77,Proficient,Proficient,Developing,59%,79%,78%,Meeting Target,3.97,Proficient,93%,80%,80%,,.,Well Developed,72%,72%,70%,Approaching Target,0.22,0.67,0.73,2.58,28.9%,1.42,Meeting Target,3.69,90%,84%,84%,,.,90%,87%,89%,,.,94%,87%,88%,26%,55%,3%,Andrea Piper,March 2017
13K527,Urban Assembly Institute of Math and Science for Y,Approaching Target,2.26,Developing,Developing,Developing,78%,79%,78%,Meeting Target,3.34,Developing,86%,80%,80%,Approaching Target,2.68,Developing,68%,70%,70%,Meeting Target,0.17,0.50,0.50,3.00,49.3%,1.86,Meeting Target,3.13,91%,83%,84%,Meeting Target,3.35,91%,90%,89%,Meeting Target,3.88,90%,87%,88%,89%,92%,60%,Kiri Soares,November 2017
13K594,Gotham Professional Arts Academy,Exceeding Target,4.38,Well Developed,Proficient,Well Developed,83%,79%,78%,Exceeding Target,4.55,Well Developed,90%,80%,80%,Meeting Target,3.94,Well Developed,74%,72%,70%,Meeting Target,0.35,1.00,0.89,3.38,43.6%,3.36,Exceeding Target,4.75,95%,84%,84%,Meeting Target,3.94,89%,87%,89%,Meeting Target,3.70,91%,87%,88%,58%,93%,12%,,March-19
13K595,Bedford Academy High School,Exceeding Target,4.86,Well Developed,Well Developed,Well Developed,87%,79%,78%,Exceeding Target,4.34,Well Developed,83%,80%,80%,Exceeding Target,4.13,Well Developed,80%,72%,70%,Meeting Target,0.14,0.39,0.47,3.50,80.3%,3.41,Exceeding Target,4.11,92%,84%,84%,Exceeding Target,4.24,92%,87%,89%,Meeting Target,3.96,91%,87%,88%,93%,91%,50%,Adofo Muhammad,19-Dec-14
13K605,George Westinghouse Career and Technical Education,Meeting Target,3.20,Proficient,Proficient,Proficient,70%,79%,78%,Approaching Target,2.55,Proficient,62%,80%,80%,Approaching Target,2.94,Well Developed,57%,72%,70%,Exceeding Target,0.19,0.58,0.85,4.23,63.2%,2.90,Meeting Target,3.01,71%,84%,84%,Meeting Target,3.46,85%,87%,89%,Approaching Target,2.79,81%,87%,88%,84%,88%,33%,JOEY ARZUAGA,April 2018
13K670,Benjamin Banneker Academy,Approaching Target,2.86,Proficient,Developing,Developing,82%,79%,78%,Meeting Target,3.05,Developing,82%,80%,80%,Approaching Target,2.83,Proficient,71%,72%,70%,Meeting Target,0.15,0.43,0.57,3.38,63.3%,1.65,Meeting Target,3.27,87%,84%,84%,Meeting Target,3.81,90%,87%,89%,Meeting Target,3.63,89%,87%,88%,51%,78%,19%,KINSLEY KWATENG,March 2017
13K674,"City Polytechnic High School of Engineering, Archi",Approaching Target,2.44,Proficient,Developing,Developing,69%,79%,78%,Approaching Target,2.54,Proficient,64%,80%,80%,Meeting Target,3.32,Proficient,65%,72%,70%,Exceeding Target,0.21,0.63,0.60,4.27,72.5%,3.08,Meeting Target,3.05,79%,84%,84%,Meeting Target,3.06,85%,87%,89%,Meeting Target,3.41,86%,87%,88%,70%,79%,24%,Judie Hartmann,December 2016
14K071,Juan Morel Campos Secondary School,Meeting Target,3.62,Proficient,Proficient,Proficient,84%,79%,78%,Meeting Target,3.55,Proficient,81%,80%,80%,Exceeding Target,4.01,Well Developed,78%,70%,70%,Approaching Target,0.33,1.00,0.77,2.17,60.1%,4.74,Meeting Target,3.86,84%,83%,84%,Exceeding Target,4.64,97%,90%,89%,Exceeding Target,4.15,90%,87%,88%,96%,95%,96%,ESTHER SHALI OGLI,May 2018
